""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb159020"	-6.90025065930093	4.27909110615509	9.68591686446688e-16	1.17606923045119e-11
"Zm00001eb229190"	-6.52063395411731	5.36260361308451	9.7562672068621e-16	1.17606923045119e-11
"Zm00001eb357740"	-6.79842333333379	4.01119690862218	3.05511317122025e-15	2.15752670538322e-11
"Zm00001eb067380"	-6.84282869643156	3.86616968321243	3.57962039965693e-15	2.15752670538322e-11
"Zm00001eb250940"	6.18521528989276	3.43176254298283	5.93343828808891e-13	2.86098527375071e-09
"Zm00001eb072870"	5.06995337241704	4.09402772800632	4.11168495808343e-11	1.65214354424056e-07
"Zm00001eb148070"	4.8617578235975	3.9518940067291	1.65290576741808e-10	5.62511071100804e-07
"Zm00001eb065210"	-4.81913584422374	4.09562470784612	1.86655961209774e-10	5.62511071100804e-07
"Zm00001eb332560"	4.55701447994579	4.78738420393234	5.04290566340109e-10	1.35088236265485e-06
"Zm00001eb284770"	5.47778274141111	1.58346171874858	2.50003727832833e-09	6.02733987432177e-06
"Zm00001eb323090"	4.38699516251239	3.93753363418997	3.09994021926757e-09	6.7942235223929e-06
"Zm00001eb344730"	4.53506773941963	2.91590635713893	4.01983010390149e-09	7.78414515603582e-06
"Zm00001eb326950"	4.31377457443791	4.02700728943354	4.1973489994801e-09	7.78414515603582e-06
"Zm00001eb401330"	-5.03652540600019	1.62826021439375	5.36858100653623e-09	9.24507996332728e-06
"Zm00001eb215860"	4.28529039897132	3.75490206090547	7.03355932101609e-09	1.13048054446918e-05
"Zm00001eb212460"	4.14409014607632	4.42143619019466	8.61941034575665e-09	1.29878352516154e-05
"Zm00001eb409030"	-5.82795964657727	1.14219940515026	9.36624894130522e-09	1.3282993866231e-05
"Zm00001eb161610"	-4.69389221549861	1.77025377420169	1.63144155387729e-08	2.18513469013487e-05
"Zm00001eb110240"	-5.71375839221122	1.03242828057175	1.87480987237499e-08	2.37893637963625e-05
"Zm00001eb048370"	4.14985231476641	3.2764091720376	2.26864414287566e-08	2.73473708202947e-05
