id_for_ipath
UNIPROT:P24631
UNIPROT:Q9ATL4
UNIPROT:O65107
UNIPROT:P49237
UNIPROT:P51108
UNIPROT:Q9ZT00
UNIPROT:P54348
UNIPROT:Q08069
UNIPROT:P41213
UNIPROT:Q9ATL6
UNIPROT:Q9ATL5
UNIPROT:Q41738
UNIPROT:Q41739
UNIPROT:Q00827
UNIPROT:P12329
UNIPROT:P06671
UNIPROT:Q9ATM0
UNIPROT:Q8RXA5
UNIPROT:Q6EI12
UNIPROT:C0PN26
UNIPROT:B6TN12
UNIPROT:P04713
UNIPROT:K7WDC8
UNIPROT:P33488
UNIPROT:B6TGJ8
UNIPROT:P49235
UNIPROT:Q5GJ60
UNIPROT:B2C4D0
UNIPROT:A0A3L6G998
UNIPROT:Q08277
UNIPROT:Q84RL6
