A0A1D6ECV8	A0A1D6ECV8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb031890			Uncharacterized protein				
A0A1D6EDA7	A0A1D6EDA7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086190			Receptor-like kinase				
A0A1D6EDB0	A0A1D6EDB0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086190			Receptor-like kinase				
A0A1D6EDG5	A0A1D6EDG5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG6	A0A1D6EDG6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG7	A0A1D6EDG7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG8	A0A1D6EDG8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG9	A0A1D6EDG9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDH0	A0A1D6EDH0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EEN8	A0A1D6EEN8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb102070			UDP-glycosyltransferase 85A7				
A0A1D6EEU2	A0A1D6EEU2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb087860			Uncharacterized protein				
A0A1D6EEW2	A0A1D6EEW2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb087960			Natterin-4				
A0A1D6EEW6	A0A1D6EEW6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb087970			Uncharacterized protein				
A0A1D6EEX1	A0A1D6EEX1_MAIZE	unreviewed	103646784	Zea mays (Maize)	Zm00001eb088020	103646784		Natterin-4				
A0A1D6EF86	A0A1D6EF86_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb088450			Zinc finger CCCH domain-containing protein 59				
A0A1D6EFR5	A0A1D6EFR5_MAIZE	unreviewed	103646871	Zea mays (Maize)	Zm00001eb089190	103646871		HXXXD-type acyl-transferase family protein				
A0A1D6EFU1	A0A1D6EFU1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb089370			Alpha/beta-Hydrolases superfamily protein				
A0A1D6EGG8	A0A1D6EGG8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Uncharacterized protein				
A0A1D6EGG9	A0A1D6EGG9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Uncharacterized protein				
A0A1D6EGH0	A0A1D6EGH0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb015410			Uncharacterized protein				
A0A1D6EGH1	A0A1D6EGH1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Myb_DNA-bind_3 domain-containing protein				
A0A1D6EGH2	A0A1D6EGH2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Uncharacterized protein				
A0A1D6EHR5	A0A1D6EHR5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb072110			60S ribosomal protein L3-1				
A0A1D6EKY2	A0A1D6EKY2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb046090			Uncharacterized protein				
A0A1D6EMP9	A0A1D6EMP9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb047650			Cellulose synthase A catalytic subunit 5 [UDP-forming]				
A0A1D6EMW5	A0A1D6EMW5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb047650			Cellulose synthase A catalytic subunit 5 [UDP-forming]				
A0A1D6ENV3	A0A1D6ENV3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb097880			TPX2 (Targeting protein for Xklp2) protein family				
A0A1D6ENV4	A0A1D6ENV4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb097880			TPX2 (Targeting protein for Xklp2) protein family				
A0A1D6ENZ1	A0A1D6ENZ1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb097920			Cytochrome P450 84A1				
A0A1D6EPE4	A0A1D6EPE4_MAIZE	unreviewed	100283280	Zea mays (Maize)	Zm00001eb098760	100283280		Phosphopyruvate hydratase (EC 4.2.1.11)				
A0A1D6EPM3	A0A1D6EPM3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099220			Uncharacterized protein				
A0A1D6EQ39	A0A1D6EQ39_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099730			Phosphatidylinositol/phosphatidylcholine transfer protein SFH8				
A0A1D6EQ45	A0A1D6EQ45_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099750			H(+)-exporting diphosphatase (EC 7.1.3.1)				
A0A1D6EQ46	A0A1D6EQ46_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQ52	A0A1D6EQ52_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099780			Ubiquitin carrier protein 7				
A0A1D6EQ56	A0A1D6EQ56_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQ60	A0A1D6EQ60_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQ61	A0A1D6EQ61_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQ65	A0A1D6EQ65_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQA8	A0A1D6EQA8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQF0	A0A1D6EQF0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQG8	A0A1D6EQG8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099740			Ubiquitin carrier protein 7				
A0A1D6EQM6	A0A1D6EQM6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099750			H(+)-exporting diphosphatase (EC 7.1.3.1)				
A0A1D6EQN2	A0A1D6EQN2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099750			H(+)-exporting diphosphatase (EC 7.1.3.1)				
A0A1D6ER30	A0A1D6ER30_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb100200			Flavonoid 3-monooxygenase				
A0A1D6ER36	A0A1D6ER36_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb100220			Flavonoid 3-monooxygenase				
A0A1D6ES33	A0A1D6ES33_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb101870			Uncharacterized protein				
A0A1D6ESG2	A0A1D6ESG2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb102070			Cytokinin-O-glucosyltransferase 2				
A0A1D6ETC5	A0A1D6ETC5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb103140			Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)				
A0A1D6ETC6	A0A1D6ETC6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb103140			Non-specific serine/threonine protein kinase (EC 2.7.11.1)				
A0A1D6ETC7	A0A1D6ETC7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb103140			Non-specific serine/threonine protein kinase (EC 2.7.11.1)				
A0A1D6EUM6	A0A1D6EUM6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb104320			High mobility group B protein 2				
A0A1D6EVQ9	A0A1D6EVQ9_MAIZE	unreviewed	103647672	Zea mays (Maize)	Zm00001eb105040	103647672		Trehalose 6-phosphate phosphatase (EC 3.1.3.12)				
A0A1D6EXK7	A0A1D6EXK7_MAIZE	unreviewed	103647733	Zea mays (Maize)	Zm00001eb106410	103647733		"Glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)"				
A0A1D6EZ91	A0A1D6EZ91_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb032430			Uncharacterized protein				
A0A1D6EZF2	A0A1D6EZF2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb107440			Uncharacterized protein				
A0A1D6F039	A0A1D6F039_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb108190			Transcription factor bHLH85				
A0A1D6F1S0	A0A1D6F1S0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb109440			Uncharacterized protein				
A0A1D6F1S2	A0A1D6F1S2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb109440			Uncharacterized protein				
