""	"x"
"190"	"Dictyostelium discoideum"
"191"	"Deinococcus radiodurans"
"192"	"Dictyoglomus turgidum"
"193"	"Drosophila willistoni"
"194"	"Edhazardia aedis"
"195"	"Enterocytozoon bieneusi"
"196"	"Escherichia coli"
"197"	"Encephalitozoon cuniculi"
"198"	"Eremothecium cymbalariae"
"199"	"Exophiala dermatitidis"
"200"	"Entamoeba histolytica"
"201"	"Emericella nidulans FGSC A4"
"202"	"Ectocarpus siliculosus"
"203"	"Fusobacterium nucleatum"
"204"	"Fusarium pseudograminearum"
"205"	"Fibroporia radiculosa"
"206"	"Grosmannia clavigera"
"207"	"Pseudogymnoascus destructans"
"208"	"Gaeumannomyces graminis"
"209"	"Giardia intestinalis"
"210"	"Glarea lozoyensis"
"211"	"Glycine max"
"212"	"Geobacter sulfurreducens"
"213"	"Gloeobacter violaceus"
"214"	"Gibberella zeae"
"215"	"Hyaloperonospora arabidopsidis"
"216"	"Halobacterium salinarum"
"217"	"Harpegnathos saltator"
"218"	"Hypocrea virens"
"219"	"Hordeum vulgare"
"220"	"Ichthyophthirius multifiliis"
"221"	"Ixodes scapularis"
"222"	"Kazachstania africana"
"223"	"Korarchaeum cryptofilum"
"224"	"Kluyveromyces lactis"
"225"	"Pichia pastoris"
"226"	"Leishmania braziliensis"
"227"	"Lodderomyces elongisporus"
"228"	"Malassezia globosa"
"229"	"Mycosphaerella graminicola IPO323"
"230"	"Meyerozyma guilliermondii"
"231"	"Methanocaldococcus jannaschii"
"232"	"Magnaporthe oryzae"
"233"	"Mixia osmundae"
"234"	"Moniliophthora perniciosa"
"235"	"Macrophomina phaseolina"
"236"	"Mycobacterium tuberculosis"
"237"	"Micromonas sp."
"238"	"Neospora caninum"
"239"	"Naumovozyma castellii"
"240"	"Nosema ceranae"
"241"	"Neurospora crassa"
"242"	"Aspergillus fumigatus Af293"
"243"	"Naegleria gruberi"
"244"	"[Nectria] haematococca mpVI 77-13-4"
"245"	"Nematocida parisii"
"246"	"Nematostella vectensis"
"247"	"Nasonia vitripennis"
"248"	"Oikopleura dioica"
"249"	"Oryza sativa"
"250"	"Ostreococcus tauri"
"251"	"Pyrobaculum aerophilum"
"252"	"Pseudomonas aeruginosa"
"253"	"Pteropus alecto"
"254"	"Plasmodium berghei"
"255"	"Paracoccidioides brasiliensis"
"256"	"Phanerochaete carnosa"
"257"	"Plasmodium chabaudi"
"258"	"Penicillium digitatum"
"259"	"Plasmodium falciparum"
"260"	"Phytophthora infestans"
"261"	"Pneumocystis jirovecii"
"262"	"Pyrococcus kodakaraensis"
"263"	"Phaeodactylum tricornutum"
"264"	"Pythium ultimum"
"265"	"Plasmodium vivax"
"266"	"Rhodopirellula baltica"
"267"	"Ricinus communis"
"268"	"Rhizopus delemar"
"269"	"Rhodotorula glutinis"
"270"	"Sorghum bicolor"
"271"	"Streptomyces coelicolor"
"272"	"Schizophyllum commune"
"273"	"Solenopsis invicta"
"274"	"Setaria italica"
"275"	"Serpula lacrymans"
"276"	"Solanum lycopersicum"
"277"	"Sordaria macrospora"
"278"	"Schistosoma mansoni"
"279"	"Selaginella moellendorffii"
"280"	"Spathaspora passalidarum"
"281"	"Schizosaccharomyces pombe"
"282"	"Sporisorium reilianum"
"283"	"Sclerotinia sclerotiorum"
"284"	"Sulfolobus solfataricus"
"285"	"Scheffersomyces stipitis"
"286"	"Solanum tuberosum"
"287"	"Salpingoeca sp."
"288"	"Synechocystis sp."
"289"	"Trichoplax adhaerens"
"290"	"Theileria annulata"
"291"	"Trichosporon asahii"
"292"	"Tetrapisispora blattae"
"293"	"Tribolium castaneum"
"294"	"Tupaia chinensis"
"295"	"Trypanosoma cruzi"
"296"	"Torulaspora delbrueckii"
"297"	"Myceliophthora thermophila"
"298"	"Trachipleistophora hominis"
"299"	"Vittaforma corneae"
"300"	"Vavraia culicis"
"301"	"Verticillium dahliae"
"302"	"Vanderwaltozyma polyspora"
"303"	"Vitis vinifera"
"304"	"Wuchereria bancrofti"
