""	"x"
"770"	"Plasmodium falciparum HB3"
"771"	"Plasmodium inui San Antonio 1"
"772"	"Plasmodium knowlesi strain H"
"773"	"Plasmodium vivax Sal-1"
"774"	"Plasmodium yoelii yoelii 17XNL"
"775"	"Schistosoma haematobium"
"776"	"Eimeria tenella strain Houghton"
"777"	"Neospora caninum Liverpool"
"778"	"Toxoplasma gondii ARI"
"779"	"Toxoplasma gondii FOU"
"780"	"Toxoplasma gondii GAB2-2007-GAL-DOM2"
"781"	"Toxoplasma gondii GT1"
"782"	"Toxoplasma gondii MAS"
"783"	"Toxoplasma gondii ME49"
"784"	"Toxoplasma gondii RH"
"785"	"Toxoplasma gondii RUB"
"786"	"Toxoplasma gondii TgCatPRC2"
"787"	"Toxoplasma gondii VAND"
"788"	"Toxoplasma gondii VEG"
"789"	"Toxoplasma gondii p89"
"790"	"Trichomonas vaginalis G3"
"791"	"Leishmania aethiopica L147"
"792"	"Leishmania braziliensis MHOM/BR/75/M2903"
"793"	"Leishmania braziliensis MHOM/BR/75/M2904"
"794"	"Leishmania donovani BPK282A1"
"795"	"Leishmania infantum JPCM5"
"796"	"Leishmania major strain Friedlin"
"797"	"Leishmania major strain LV39c5"
"798"	"Leishmania major strain SD 75.1"
"799"	"Leishmania mexicana MHOM/GT/2001/U1103"
"800"	"Leishmania panamensis MHOM/COL/81/L13"
"801"	"Leishmania sp. MAR LEM2494"
"802"	"Leishmania tropica L590"
"803"	"Trypanosoma brucei brucei TREU927"
"804"	"Trypanosoma brucei gambiense DAL972"
"805"	"Trypanosoma congolense IL3000"
"806"	"Trypanosoma cruzi strain CL Brener"
"807"	"Trypanosoma rangeli SC58"
"808"	"Trypanosoma vivax Y486"
"809"	"Blechomonas ayalai"
"810"	"Bodo saltans"
"811"	"Leishmania amazonensis"
"812"	"Paratrypanosoma confusum"
"813"	"Trypanosoma cruzi Dm28c"
"814"	"Trypanosoma theileri"
"815"	"Betta splendens"
"816"	"Cottoperca gobio"
"817"	"Clupea harengus"
"818"	"Denticeps clupeoides"
"819"	"Erpetoichthys calabaricus"
"820"	"Gouania willdenowi"
"821"	"Larimichthys crocea"
"822"	"Parambassis ranga"
"823"	"Myxococcus xanthus DK 1622"
"824"	"astyanax mexicanus pachon"
"825"	"bos indicus hybrid"
"826"	"bos taurus hybrid"
"827"	"sus scrofa bamei"
"828"	"sus scrofa berkshire"
"829"	"sus scrofa hampshire"
"830"	"sus scrofa jinhua"
"831"	"sus scrofa landrace"
"832"	"sus scrofa largewhite"
"833"	"sus scrofa meishan"
"834"	"sus scrofa pietrain"
"835"	"sus scrofa rongchang"
"836"	"sus scrofa tibetan"
"837"	"sus scrofa usmarc"
"838"	"sus scrofa wuzhishan"
"839"	"Amazona collaria"
"840"	"Athene cunicularia"
"841"	"Anser cygnoides"
"842"	"Accipiter nisus"
"843"	"Bos grunniens"
"844"	"Camelus dromedarius"
"845"	"Chrysolophus pictus"
"846"	"Catagonus wagneri"
"847"	"Erythrura gouldiae"
"848"	"Echeneis naucrates"
"849"	"Lynx canadensis"
"850"	"Moschus moschiferus"
"851"	"Myripristis murdjan"
"852"	"Neogobius melanostomus"
"853"	"Oreochromis aureus"
"854"	"Physeter catodon"
"855"	"Phasianus colchicus"
"856"	"Pavo cristatus"
"857"	"Podarcis muralis"
"858"	"Pseudonaja textilis"
"859"	"Rhinolophus ferrumequinum"
"860"	"Sinocyclocheilus anshuiensis"
"861"	"Sparus aurata"
"862"	"Salarias fasciatus"
"863"	"Sinocyclocheilus grahami"
"864"	"Strigops habroptila"
"865"	"Sphaeramia orbicularis"
"866"	"Sinocyclocheilus rhinocerous"
"867"	"Salmo salar"
"868"	"Suricata suricatta"
"869"	"Salmo trutta"
"870"	"Varanus komodoensis"
"871"	"aquila chrysaetos chrysaetos"
"872"	"canis lupus familiarisbasenji"
"873"	"canis lupus familiarisgreatdane"
"874"	"cyprinus carpio germanmirror"
"875"	"cyprinus carpio hebaored"
"876"	"cyprinus carpio huanghe"
"877"	"struthio camelus australis"
"878"	"terrapene carolina triunguis"
"879"	"Carassius auratus"
"880"	"Cyprinus carpio"
"881"	"Camarhynchus parvulus"
"882"	"Cyanoderma ruficeps"
"883"	"Chelydra serpentina"
"884"	"Dicentrarchus labrax"
"885"	"Delphinapterus leucas"
"886"	"Gopherus evgoodei"
"887"	"Laticauda laticaudata"
"888"	"Oncorhynchus mykiss"
"889"	"Oncorhynchus tshawytscha"
"890"	"Pelusios castaneus"
"891"	"Panthera leo"
"892"	"canis lupus familiaris"
"893"	"Oryzias javanicus"
"894"	"Oryzias sinensis"
"895"	"Stachyris ruficeps"
"896"	"ursus thibetanus thibetanus"
"897"	"zosterops lateralis melanops"
"898"	"Anas zonorhyncha"
"899"	"Bubo bubo"
"900"	"Buteo japonicus"
"901"	"Balaenoptera musculus"
"902"	"Cyclopterus lumpus"
"903"	"Corvus moneduloides"
"904"	"Catharus ustulatus"
"905"	"Falco tinnunculus"
"906"	"Leptobrachium leishanense"
"907"	"Monodon monoceros"
"908"	"Nothobranchius furzeri"
"909"	"Naja naja"
"910"	"Oncorhynchus kisutch"
"911"	"Otus sunia"
"912"	"Phocoena sinus"
"913"	"Sander lucioperca"
"914"	"Sciurus vulgaris"
"915"	"Zalophus californianus"
"916"	"acanthochromis polyacanthus"
"917"	"accipiter nisus"
"918"	"ailuropoda melanoleuca"
"919"	"amazona collaria"
"920"	"amphilophus citrinellus"
"921"	"amphiprion ocellaris"
"922"	"amphiprion percula"
"923"	"anabas testudineus"
"924"	"anas platyrhynchos"
"925"	"anas platyrhynchos_platyrhynchos"
"926"	"anas zonorhyncha"
"927"	"anolis carolinensis"
"928"	"anser brachyrhynchus"
"929"	"anser cygnoides"
"930"	"aotus nancymaae"
"931"	"apteryx haastii"
"932"	"apteryx owenii"
"933"	"apteryx rowi"
"934"	"aquila chrysaetos_chrysaetos"
"935"	"astatotilapia calliptera"
"936"	"astyanax mexicanus"
"937"	"astyanax mexicanus_pachon"
"938"	"athene cunicularia"
"939"	"balaenoptera musculus"
"940"	"betta splendens"
"941"	"bison bison_bison"
"942"	"bos grunniens"
"943"	"bos indicus_hybrid"
"944"	"bos mutus"
"945"	"bos taurus"
"946"	"bos taurus_hybrid"
"947"	"bubo bubo"
"948"	"buteo japonicus"
"949"	"caenorhabditis elegans"
"950"	"cairina moschata_domestica"
"951"	"calidris pugnax"
"952"	"calidris pygmaea"
"953"	"callithrix jacchus"
"954"	"callorhinchus milii"
"955"	"camarhynchus parvulus"
"956"	"camelus dromedarius"
"957"	"canis lupus_dingo"
"958"	"canis lupus_familiaris"
"959"	"canis lupus_familiarisbasenji"
"960"	"canis lupus_familiarisgreatdane"
"961"	"capra hircus"
"962"	"capra hircus_blackbengal"
"963"	"carassius auratus"
"964"	"carlito syrichta"
"965"	"castor canadensis"
"966"	"catagonus wagneri"
"967"	"catharus ustulatus"
"968"	"cavia aperea"
"969"	"cavia porcellus"
"970"	"cebus capucinus"
"971"	"cercocebus atys"
"972"	"cervus hanglu_yarkandensis"
"973"	"chelonoidis abingdonii"
"974"	"chelydra serpentina"
"975"	"chinchilla lanigera"
"976"	"chlorocebus sabaeus"
"977"	"choloepus hoffmanni"
"978"	"chrysemys picta_bellii"
"979"	"chrysolophus pictus"
"980"	"ciona intestinalis"
"981"	"ciona savignyi"
"982"	"clupea harengus"
"983"	"colobus angolensis_palliatus"
"984"	"corvus moneduloides"
"985"	"cottoperca gobio"
"986"	"coturnix japonica"
"987"	"cricetulus griseus_chok1gshd"
"988"	"cricetulus griseus_crigri"
"989"	"cricetulus griseus_picr"
"990"	"crocodylus porosus"
"991"	"cyanistes caeruleus"
"992"	"cyclopterus lumpus"
"993"	"cynoglossus semilaevis"
"994"	"cyprinodon variegatus"
"995"	"cyprinus carpio"
"996"	"cyprinus carpio_germanmirror"
"997"	"cyprinus carpio_hebaored"
"998"	"cyprinus carpio_huanghe"
"999"	"danio rerio"
"1000"	"dasypus novemcinctus"
"1001"	"delphinapterus leucas"
"1002"	"denticeps clupeoides"
"1003"	"dicentrarchus labrax"
"1004"	"dipodomys ordii"
"1005"	"dromaius novaehollandiae"
"1006"	"drosophila melanogaster"
"1007"	"echeneis naucrates"
"1008"	"echinops telfairi"
"1009"	"electrophorus electricus"
"1010"	"eptatretus burgeri"
"1011"	"equus asinus_asinus"
"1012"	"equus caballus"
"1013"	"erinaceus europaeus"
"1014"	"erpetoichthys calabaricus"
"1015"	"erythrura gouldiae"
"1016"	"esox lucius"
"1017"	"falco tinnunculus"
"1018"	"felis catus"
"1019"	"ficedula albicollis"
"1020"	"fukomys damarensis"
"1021"	"fundulus heteroclitus"
"1022"	"gadus morhua"
"1023"	"gallus gallus"
"1024"	"gambusia affinis"
"1025"	"gasterosteus aculeatus"
"1026"	"geospiza fortis"
"1027"	"gopherus agassizii"
"1028"	"gopherus evgoodei"
"1029"	"gorilla gorilla"
"1030"	"gouania willdenowi"
"1031"	"haplochromis burtoni"
"1032"	"heterocephalus glaber_female"
"1033"	"heterocephalus glaber_male"
"1034"	"hippocampus comes"
"1035"	"homo sapiens"
"1036"	"hucho hucho"
"1037"	"ictalurus punctatus"
"1038"	"ictidomys tridecemlineatus"
"1039"	"jaculus jaculus"
"1040"	"junco hyemalis"
"1041"	"kryptolebias marmoratus"
"1042"	"labrus bergylta"
"1043"	"larimichthys crocea"
"1044"	"lates calcarifer"
"1045"	"laticauda laticaudata"
"1046"	"latimeria chalumnae"
"1047"	"lepidothrix coronata"
"1048"	"lepisosteus oculatus"
"1049"	"leptobrachium leishanense"
"1050"	"lonchura striata_domestica"
"1051"	"loxodonta africana"
"1052"	"lynx canadensis"
"1053"	"macaca fascicularis"
"1054"	"macaca mulatta"
"1055"	"macaca nemestrina"
"1056"	"malurus cyaneus_samueli"
"1057"	"manacus vitellinus"
"1058"	"mandrillus leucophaeus"
"1059"	"marmota marmota_marmota"
"1060"	"mastacembelus armatus"
"1061"	"maylandia zebra"
"1062"	"meleagris gallopavo"
"1063"	"melopsittacus undulatus"
"1064"	"meriones unguiculatus"
"1065"	"mesocricetus auratus"
"1066"	"microcebus murinus"
"1067"	"microtus ochrogaster"
"1068"	"mola mola"
"1069"	"monodelphis domestica"
"1070"	"monodon monoceros"
"1071"	"monopterus albus"
"1072"	"moschus moschiferus"
"1073"	"mus caroli"
"1074"	"mus musculus"
"1075"	"mus musculus_129s1svimj"
"1076"	"mus musculus_aj"
"1077"	"mus musculus_akrj"
"1078"	"mus musculus_balbcj"
"1079"	"mus musculus_c3hhej"
"1080"	"mus musculus_c57bl6nj"
"1081"	"mus musculus_casteij"
"1082"	"mus musculus_cbaj"
"1083"	"mus musculus_dba2j"
"1084"	"mus musculus_fvbnj"
"1085"	"mus musculus_lpj"
"1086"	"mus musculus_nodshiltj"
"1087"	"mus musculus_nzohlltj"
"1088"	"mus musculus_pwkphj"
"1089"	"mus musculus_wsbeij"
"1090"	"mus pahari"
"1091"	"mus spicilegus"
"1092"	"mus spretus"
"1093"	"mustela putorius_furo"
"1094"	"myotis lucifugus"
"1095"	"myripristis murdjan"
"1096"	"naja naja"
"1097"	"nannospalax galili"
"1098"	"neogobius melanostomus"
"1099"	"neolamprologus brichardi"
"1100"	"neovison vison"
"1101"	"nomascus leucogenys"
"1102"	"notamacropus eugenii"
"1103"	"notechis scutatus"
"1104"	"nothobranchius furzeri"
"1105"	"nothoprocta perdicaria"
"1106"	"numida meleagris"
"1107"	"ochotona princeps"
"1108"	"octodon degus"
"1109"	"oncorhynchus kisutch"
"1110"	"oncorhynchus mykiss"
"1111"	"oncorhynchus tshawytscha"
"1112"	"oreochromis aureus"
"1113"	"oreochromis niloticus"
"1114"	"ornithorhynchus anatinus"
"1115"	"oryctolagus cuniculus"
"1116"	"oryzias javanicus"
"1117"	"oryzias latipes"
"1118"	"oryzias latipes_hni"
"1119"	"oryzias latipes_hsok"
"1120"	"oryzias melastigma"
"1121"	"oryzias sinensis"
"1122"	"otolemur garnettii"
"1123"	"otus sunia"
"1124"	"ovis aries"
"1125"	"ovis aries_rambouillet"
"1126"	"pan paniscus"
"1127"	"pan troglodytes"
"1128"	"panthera leo"
"1129"	"panthera pardus"
"1130"	"panthera tigris_altaica"
"1131"	"papio anubis"
"1132"	"parambassis ranga"
"1133"	"paramormyrops kingsleyae"
"1134"	"parus major"
"1135"	"pavo cristatus"
"1136"	"pelodiscus sinensis"
"1137"	"pelusios castaneus"
"1138"	"periophthalmus magnuspinnatus"
"1139"	"peromyscus maniculatus_bairdii"
"1140"	"petromyzon marinus"
"1141"	"phascolarctos cinereus"
"1142"	"phasianus colchicus"
"1143"	"phocoena sinus"
"1144"	"physeter catodon"
"1145"	"piliocolobus tephrosceles"
"1146"	"podarcis muralis"
"1147"	"poecilia formosa"
"1148"	"poecilia latipinna"
"1149"	"poecilia mexicana"
"1150"	"poecilia reticulata"
"1151"	"pogona vitticeps"
"1152"	"pongo abelii"
"1153"	"procavia capensis"
"1154"	"prolemur simus"
"1155"	"propithecus coquereli"
"1156"	"pseudonaja textilis"
"1157"	"pteropus vampyrus"
"1158"	"pundamilia nyererei"
"1159"	"pygocentrus nattereri"
"1160"	"rattus norvegicus"
"1161"	"rhinolophus ferrumequinum"
"1162"	"rhinopithecus bieti"
"1163"	"rhinopithecus roxellana"
"1164"	"saccharomyces cerevisiae"
"1165"	"saimiri boliviensis_boliviensis"
"1166"	"salarias fasciatus"
"1167"	"salmo salar"
"1168"	"salmo trutta"
"1169"	"salvator merianae"
"1170"	"sander lucioperca"
"1171"	"sarcophilus harrisii"
"1172"	"sciurus vulgaris"
"1173"	"scleropages formosus"
"1174"	"scophthalmus maximus"
"1175"	"serinus canaria"
"1176"	"seriola dumerili"
"1177"	"seriola lalandi_dorsalis"
"1178"	"sinocyclocheilus anshuiensis"
"1179"	"sinocyclocheilus grahami"
"1180"	"sinocyclocheilus rhinocerous"
"1181"	"sorex araneus"
"1182"	"sparus aurata"
"1183"	"spermophilus dauricus"
"1184"	"sphaeramia orbicularis"
"1185"	"sphenodon punctatus"
"1186"	"stachyris ruficeps"
"1187"	"stegastes partitus"
"1188"	"strigops habroptila"
"1189"	"strix occidentalis_caurina"
"1190"	"struthio camelus_australis"
"1191"	"suricata suricatta"
"1192"	"sus scrofa"
"1193"	"sus scrofa_bamei"
"1194"	"sus scrofa_berkshire"
"1195"	"sus scrofa_hampshire"
"1196"	"sus scrofa_jinhua"
"1197"	"sus scrofa_landrace"
"1198"	"sus scrofa_largewhite"
"1199"	"sus scrofa_meishan"
"1200"	"sus scrofa_pietrain"
"1201"	"sus scrofa_rongchang"
"1202"	"sus scrofa_tibetan"
"1203"	"sus scrofa_usmarc"
"1204"	"sus scrofa_wuzhishan"
"1205"	"taeniopygia guttata"
"1206"	"takifugu rubripes"
"1207"	"terrapene carolina_triunguis"
"1208"	"tetraodon nigroviridis"
"1209"	"theropithecus gelada"
"1210"	"tupaia belangeri"
"1211"	"tursiops truncatus"
"1212"	"urocitellus parryii"
"1213"	"ursus americanus"
"1214"	"ursus maritimus"
"1215"	"ursus thibetanus_thibetanus"
"1216"	"varanus komodoensis"
"1217"	"vicugna pacos"
"1218"	"vombatus ursinus"
"1219"	"vulpes vulpes"
"1220"	"xenopus tropicalis"
"1221"	"xiphophorus couchianus"
"1222"	"xiphophorus maculatus"
"1223"	"zalophus californianus"
"1224"	"zonotrichia albicollis"
"1225"	"zosterops lateralis_melanops"
"1226"	"Anopheles gambiae str. PEST"
"1227"	"Bacillus subtilis subsp. subtilis str. 168"
"1228"	"Cyanobacteria"
"1229"	"Dickeya dadantii 3937"
"1230"	"Dictyostelium discoideum AX4"
"1231"	"Escherichia coli str. K-12 substr. MG1655"
"1232"	"Escherichia coli O157:H7 str. Sakai"
"1233"	"Mesorhizobium japonicum MAFF 303099"
"1234"	"Lotus japonicus"
"1235"	"Medicago truncatula"
"1236"	"Nostoc sp. PCC 7120 = FACHB-418"
"1237"	"Oryza sativa Japonica Group"
"1238"	"Pseudomonas aeruginosa PAO1"
"1239"	"Staphylococcus argenteus"
"1240"	"Streptomyces coelicolor A3(2)"
"1241"	"Xenopus laevis"
"1242"	"Zea mays"
"1243"	"Aquila chrysaetos chrysaetos"
"1244"	"Bison bison bison"
"1245"	"Bos indicus x Bos taurus"
"1246"	"Canis lupus dingo"
"1247"	"Marmota marmota marmota"
"1248"	"Peromyscus maniculatus bairdii"
"1249"	"Panthera tigris altaica"
"1250"	"Seriola lalandi dorsalis"
"1251"	"Branchiostoma lanceolatum"
"1252"	"Strigamia maritima"
"1253"	"Schmidtea mediterranea"
"1254"	"canis lupus_familiarisboxer"
"1255"	"Apteryx australis"
"1256"	"Aquila chrysaetos canadensis"
"1257"	"Balaenoptera acutorostrata scammoni"
"1258"	"Galeopterus variegatus"
"1259"	"Manis pentadactyla"
"1260"	"Nanorana parkeri"
"1261"	"Nasalis larvatus"
"1262"	"Neomonachus schauinslandi"
"1263"	"Pongo pygmaeus abelii"
"1264"	"Thamnophis sirtalis"
"1265"	"cyprinus carpio_carpio"
"1266"	"canis lupus_familiarisgsd"
"1267"	"gallus gallus_gca000002315v5"
"1268"	"gallus gallus_gca016700215v2"
"1269"	"Cebus imitator"
"1270"	"Anas platyrhynchos platyrhynchos"
"1271"	"Colobus angolensis palliatus"
"1272"	"Cyprinus carpio carpio"
"1273"	"Cervus hanglu yarkandensis"
"1274"	"Cairina moschata domestica"
"1275"	"Equus asinus asinus"
"1276"	"Equus asinus"
"1277"	"Lonchura striata domestica"
"1278"	"Malurus cyaneus samueli"
"1279"	"Mus musculus castaneus"
"1280"	"Mus musculus musculus"
"1281"	"Mus musculus domesticus"
"1282"	"Saimiri boliviensis boliviensis"
"1283"	"Struthio camelus australis"
"1284"	"Strix occidentalis caurina"
"1285"	"Terrapene carolina triunguis"
"1286"	"Ursus thibetanus thibetanus"
"1287"	"Zosterops lateralis melanops"
"1288"	"cebus imitator"
"1289"	"equus asinus"
"1290"	"Coffea arabica"
"1291"	"Triticum aestivum"
"1292"	"Triticum aestivum_subsp._aestivum"
"1293"	"Triticum vulgare"
"1294"	"Brassica napus"
"1295"	"Arachis hypogaea"
"1296"	"Hibiscus syriacus"
"1297"	"Acridium cancellatum"
"1298"	"Schistocerca cancellata"
"1299"	"Triticum dicoccoides"
"1300"	"Triticum turgidum_subsp._dicoccoides"
"1301"	"Triticum turgidum_var._dicoccoides"
"1302"	"Dendrohyas sarda"
"1303"	"Hyla arborea_sarda"
"1304"	"Hyla sarda"
"1305"	"Locusta gregaria"
"1306"	"Schistocerca gregaria"
"1307"	"Gossypium hirsutum"
"1308"	"Gossypium hirsutum_subsp._mexicanum"
"1309"	"Gossypium lanceolatum"
"1310"	"Gossypium purpurascens"
"1311"	"Camelina sativa"
"1312"	"Carassius auratus_gibelio"
"1313"	"Carassius gibelio_gibelio"
"1314"	"Carassius gibelio"
"1315"	"Carassius gibelio_subsp._gibelio"
"1316"	"Cyprinus gibelio"
"1317"	"Schistocerca piceifrons"
"1318"	"Papaver somniferum"
"1319"	"Zingiber officinale"
"1320"	"Trichomonas vaginalis_G3"
"1321"	"Trichomonas vaginalis_strain_G3"
"1322"	"Carassius carassius_auratus"
"1323"	"Cyprinus auratus"
"1324"	"Helianthus annuus"
"1325"	"Schistocerca americana"
"1326"	"Acipenser ruthenus"
"1327"	"Schistocerca serialis_cubense"
"1328"	"Panicum virgatum"
"1329"	"Nicotiana tabacum"
"1330"	"Oncorhynchus nerka_mykiss"
"1331"	"Parasalmo mykiss"
"1332"	"Salmo mykiss"
"1333"	"Schistocerca nitens"
"1334"	"Schistocerca vaga"
"1335"	"Salvia splendens"
"1336"	"Carassius carassius"
"1337"	"Cyprinus carassius"
"1338"	"Vicia villosa"
"1339"	"Camellia sinensis"
"1340"	"Thea sinensis"
"1341"	"Oncorhynchus keta"
"1342"	"Salmo keta"
"1343"	"Pisum sativum"
"1344"	"Raphanus sativus"
"1345"	"Oncorhyncus kisutch"
"1346"	"Salmo kisatch"
"1347"	"Lolium rigidum"
"1348"	"Aegilops squarrosa_subsp._squarrosa"
"1349"	"Aegilops squarrosa"
"1350"	"Aegilops tauschii"
"1351"	"Patropyrum tauschii_subsp._tauschii"
"1352"	"Patropyrum tauschii"
"1353"	"Triticum aegilops"
"1354"	"Triticum tauschii"
"1355"	"Cryptomeria japonica"
"1356"	"Coregonus clupeaformis"
"1357"	"Salmo clupeaformis"
"1358"	"Oncorhynchus gorbuscha"
"1359"	"Salmo gorbuscha"
"1360"	"Glycine max_subsp._soja"
"1361"	"Glycine soja"
"1362"	"Salmo fontinalis"
"1363"	"Salvelinus fontinalis"
"1364"	"Phaseolus max"
"1365"	"Chenopodium quinoa"
"1366"	"Hordeum sativum"
"1367"	"Hordeum vulgare_subsp._vulgare"
"1368"	"Hordeum vulgare_var._nudum"
"1369"	"Hordeum vulgare_var._vulgare"
"1370"	"Festuca perennis_(L.)_Columbus_&_J.P.Sm.,_2010"
"1371"	"Festuca perennis"
"1372"	"Lolium perenne"
"1373"	"Lolium vulgare"
"1374"	"Barbus grahami"
"1375"	"Gossypium arboreum"
"1376"	"Brassica oleracea"
"1377"	"Malus sylvestris"
"1378"	"Pyrus malus_var._sylvestris"
"1379"	"Tetragonopterus mexicanus"
"1380"	"Arachis stenosperma"
"1381"	"Prosopis alba"
"1382"	"Lactuca sativa"
"1383"	"Dreissena polymorpha"
"1384"	"Mytilus polymorphus"
"1385"	"Hydractinia symbiolongicarpus"
"1386"	"Hevea brasiliensis"
"1387"	"Oncorhynchus tschawytscha"
"1388"	"Salmo tshawytscha"
"1389"	"Arachis ipaensis"
"1390"	"Zea mays_var._japonica"
"1391"	"Salmo namaycush"
"1392"	"Salvelinus namaycush"
"1393"	"Capsicum annuum"
"1394"	"Brienomyrus brachyistius"
"1395"	"Marcusenius brachyistius"
"1396"	"Convolvulus nil"
"1397"	"Ipomoea nil"
"1398"	"Pharbitis nil"
"1399"	"Olea europaea_subsp._europaea_var._sylvestris"
"1400"	"Olea europaea_var._oleaster"
"1401"	"Olea europaea_var._sylvestris"
"1402"	"Olea europea_subsp._sylvestris"
"1403"	"Alosa sapidissima"
"1404"	"Clupea sapidissima"
"1405"	"Carpiodes asiaticus"
"1406"	"Myxocyprinus asiaticus"
"1407"	"Actinidia eriantha"
"1408"	"Gossypium raimondii"
"1409"	"Salmo alpinus"
"1410"	"Salvelinus alpinus"
"1411"	"Catostomus texanus"
"1412"	"Xyrauchen texanus"
"1413"	"Doryrhamphus excisus"
"1414"	"Quercus lobata"
"1415"	"Malus communis"
"1416"	"Malus domestica"
"1417"	"Malus pumila_auct."
"1418"	"Malus pumila_var._domestica"
"1419"	"Malus sylvestris_var._domestica"
"1420"	"Malus x_domestica"
"1421"	"Pyrus malus"
"1422"	"Pyrus malus_var._domestica"
"1423"	"Quercus suber"
"1424"	"Oncorhynchus nerka"
"1425"	"Salmo nerka"
"1426"	"Nicotiana tomentosiformis"
"1427"	"Carya illinoensis"
"1428"	"Carya illinoinensis"
"1429"	"Mercenaria mercenaria"
"1430"	"Venus mercenaria"
"1431"	"Quercus robur"
"1432"	"Durio zibethinus"
"1433"	"Pongo pygmaeus_abelii"
"1434"	"Pongo pygmaeus_abeli"
"1435"	"Mya arenaria"
"1436"	"Arachis duranensis"
"1437"	"Arachis spegazzinii"
"1438"	"Pyrus x_bretschneideri"
"1439"	"Trifolium pratense"
"1440"	"Gorilla gorilla_gorilla"
"1441"	"Cobitis anguillicaudata"
"1442"	"Misgurnus anguillicaudatus"
"1443"	"Scaphiopus bombifrons"
"1444"	"Spea bombifrons"
"1445"	"Haliotis rufenscens"
"1446"	"Haliotis rufescens"
"1447"	"Oreochromis nilotica"
"1448"	"Perca nilotica"
"1449"	"Tilapia nilotica"
"1450"	"Acropora convexa"
"1451"	"Acropora millepora"
"1452"	"Acropora singularis"
"1453"	"Cebus apella"
"1454"	"Sapajus apella"
"1455"	"Simia apella"
"1456"	"Eucalyptus grandis"
"1457"	"Callithrix jacchus_jacchus"
"1458"	"Simia jacchus"
"1459"	"Pistacia vera"
"1460"	"greater Indian_fruit_bat"
"1461"	"Pteropus giganteus"
"1462"	"Pteropus medius"
"1463"	"Salvia miltiorhiza"
"1464"	"Salvia miltiorrhiza"
"1465"	"Daphnia pulicaria"
"1466"	"Magnolia sinica"
"1467"	"Manglietia sinica"
"1468"	"Manglietiastrum sinicum"
"1469"	"Pachylarnax sinica_(Y.W.Law)_N.H.Xia_&_C.Y.Wu"
"1470"	"Rosa chinensis"
"1471"	"Rosa indica_auct.,_non_L."
"1472"	"Mytilus californianus"
"1473"	"Vespertilio vampyrus"
"1474"	"Chinemys reevesii"
"1475"	"Chinemys reevesi"
"1476"	"Emys reevesii"
"1477"	"Geoclemys reevesii"
"1478"	"Geoclemys reevessi"
"1479"	"Mauremys reevesii"
"1480"	"Mauremys reevesi"
"1481"	"Choloepus brasiliensis_Fitzinger_1871"
"1482"	"Choloepus brasiliensis"
"1483"	"Choloepus didactylus"
"1484"	"Simia nemestrina"
"1485"	"Bubalus arnee_carabanensis"
"1486"	"Bubalus bubalis_carabanesis"
"1487"	"Bubalus carabanensis_carabanensis"
"1488"	"Bubalus carabanensis"
"1489"	"Lotus corniculatus_var._japonicus"
"1490"	"Nicotiana sylvestris"
"1491"	"Tupaia belangeri_chinensis"
"1492"	"Clarias gariepinus"
"1493"	"Clarias lazera"
"1494"	"Silurus gariepinus"
"1495"	"Canis dingo"
"1496"	"Canis familiaris_dingo"
"1497"	"Canis lupus_dingo"
"1498"	"Barbus tetrazona"
"1499"	"Capoeta tetrazona"
"1500"	"Puntigrus tetrazona"
"1501"	"Puntius tetrazona"
"1502"	"Systomus tetrazona"
"1503"	"Lycium ferocissimum"
"1504"	"Nicotiana attenuata"
"1505"	"Haliotis rubra"
"1506"	"Aedes albopictus"
"1507"	"Stegomyia albopicta"
"1508"	"Spinacia oleracea"
"1509"	"Paramecium aurelia_syngen_4"
"1510"	"Salvia hispanica"
"1511"	"Crassostrea virginica"
"1512"	"Ostrea virginica"
"1513"	"Felis domesticus"
"1514"	"Felis silvestris_catus"
"1515"	"Anubis baboon"
"1516"	"Papio cynocephalus_anubis"
"1517"	"Papio doguera"
"1518"	"Papio hamadryas_anubis"
"1519"	"Papio hamadryas_doguera"
"1520"	"Pongo pygmaeus"
"1521"	"Simia pygmaeus"
"1522"	"Sorex etruscus"
"1523"	"Suncus etruscus"
"1524"	"Prosopis cineraria"
"1525"	"Nycticebus coucang"
"1526"	"Tardigradus coucang"
"1527"	"Rhododendron vialii"
"1528"	"Ixodes dammini"
"1529"	"Lupinus angustifolius"
"1530"	"Ipomoea triloba"
"1531"	"Emiliania huxleyi_CCMP1516"
"1532"	"Emiliania huxleyi_CCMP2090"
"1533"	"Mangifera indica"
"1534"	"Rana temporaria"
"1535"	"Ostrea gigas"
"1536"	"Crassostrea angulata"
"1537"	"Etheostoma spectabile"
"1538"	"Poecilichthys spectabilis"
"1539"	"Macadamia integrifolia"
"1540"	"Megalobrama amblycephala"
"1541"	"Halichoerus grypus"
"1542"	"Phoca grypus"
"1543"	"Juglans regia"
"1544"	"Selaginella moellendorfii"
"1545"	"Pleuronectes platessa"
"1546"	"Presbytis francoisi"
"1547"	"Trachypithecus francoisi"
"1548"	"Tripterygium wilfordii"
"1549"	"Argiope bruennichi"
"1550"	"Lepus cuniculus"
"1551"	"Huro salmoides"
"1552"	"Labrus salmoides"
"1553"	"Labrus salmonides"
"1554"	"Micropterus nigricans"
"1555"	"Micropterus salmoides"
"1556"	"Solanum stenotomum"
"1557"	"Neosciurus carolinensis"
"1558"	"Sciurus carolinensis"
"1559"	"Cervus elaphus"
"1560"	"Polyodon spathula"
"1561"	"Squalus spathula"
