id_for_ipath
UNIPROT:P24631
UNIPROT:O65107
UNIPROT:P49237
UNIPROT:P51108
UNIPROT:Q9ZT00
UNIPROT:P41213
UNIPROT:Q9ATL6
UNIPROT:Q9ATL5
UNIPROT:Q41738
UNIPROT:Q41739
UNIPROT:Q00827
UNIPROT:P12329
UNIPROT:P06671
UNIPROT:Q6EI12
UNIPROT:K7WDC8
UNIPROT:B2C4D0
UNIPROT:A0A3L6G998
UNIPROT:Q08277
