"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb160010"	8.4620900969961	3.74997715375386	6.93389348850809e-23	1.77785029045347e-18
"Zm00001eb229190"	-6.94592493565749	4.24940511703371	3.60478887808024e-21	4.62133934169887e-17
"Zm00001eb065210"	-8.33094312874105	2.61912910351009	1.26268023457531e-18	1.07917070715037e-14
"Zm00001eb389190"	5.49277960147812	5.52746918543627	8.23700658356689e-18	5.27992122006638e-14
"Zm00001eb357740"	-6.44230588315291	3.17964601432571	1.30071692483797e-17	6.67007639056912e-14
"Zm00001eb330540"	-4.70543792213438	5.23673307271383	1.58437429675582e-14	6.77055949480323e-11
"Zm00001eb332560"	4.79774865360246	4.05136052464477	3.648846858073e-14	1.33652047772845e-10
"Zm00001eb072870"	4.74482208746195	4.16904885460133	4.39040878285735e-14	1.40712601490578e-10
"Zm00001eb274690"	4.97444808479181	3.40058352184372	5.26418434998509e-14	1.49970763037353e-10
"Zm00001eb381280"	-4.71109425798667	4.11975824178827	7.15916987079309e-14	1.83561115487135e-10
"Zm00001eb088020"	-4.62894680242988	4.18448039062266	1.34202696526415e-13	3.12814285357935e-10
"Zm00001eb048560"	-4.64750050003974	3.85653431708782	1.85547690656735e-13	3.96453565703224e-10
"Zm00001eb087960"	-4.32834348182609	7.31107032711973	2.58918285921246e-13	5.10666527001597e-10
"Zm00001eb396520"	-4.39038028886002	5.25954987754735	3.28698275909649e-13	6.01987413880243e-10
"Zm00001eb283460"	-5.1403482544373	2.48121097986045	4.4237053967554e-13	7.56158709152057e-10
"Zm00001eb344730"	5.10471552231671	2.19420244407098	1.22245083915956e-12	1.9574794656166e-09
"Zm00001eb326950"	4.38505172212078	3.94011747200885	1.29786080013581e-12	1.9574794656166e-09
"Zm00001eb299760"	-4.55227548885464	2.89974463268045	2.71936205043473e-12	3.8735801651748e-09
"Zm00001eb228670"	4.05922501927641	5.75424694799384	5.64335719231276e-12	7.61556202162627e-09
"Zm00001eb250940"	4.56761336082557	2.75337403582064	6.75295634584973e-12	8.65729003537935e-09
"Zm00001eb367810"	4.3600828070002	3.09991382047416	9.83729514318304e-12	1.20108689272006e-08
"Zm00001eb171840"	4.38623990571119	2.91648752101007	1.34600437322418e-11	1.56870691497581e-08
"Zm00001eb153570"	-4.95288643783787	1.73334958110692	3.27772813137114e-11	3.65395431688505e-08
"Zm00001eb164960"	-4.26926358201653	2.70832688219818	3.48569516223082e-11	3.72388433164992e-08
"Zm00001eb139500"	-4.07388747659891	3.39611965838134	4.46362365626882e-11	4.5778924218693e-08
"Zm00001eb272040"	-9.33427857924244	0.530955844401432	7.36904055712289e-11	7.07724571809455e-08
"Zm00001eb187450"	3.96732271215727	3.54672195323767	7.45263784666742e-11	7.07724571809455e-08
"Zm00001eb404170"	-4.10368891636098	2.82452814794332	9.35100169043631e-11	8.56284583367096e-08
"Zm00001eb367770"	3.87394660444279	4.02734665573854	9.84866336926609e-11	8.70757685475802e-08
"Zm00001eb119760"	4.29833732458344	2.29773682487619	1.6685609303164e-10	1.42606340844375e-07
"Zm00001eb145080"	-5.22907392904515	1.04575801412913	4.23492334355419e-10	3.50269143641063e-07
"Zm00001eb204960"	-4.10488914493337	2.12102526267678	4.71734350699299e-10	3.77977148497814e-07
"Zm00001eb170770"	-3.69709756696446	3.86412866469122	5.08406763515336e-10	3.80902919962269e-07
"Zm00001eb070270"	-4.04093857857486	2.25024237628602	5.16720600363217e-10	3.80902919962269e-07
"Zm00001eb113780"	-3.61395728059343	4.73622680700518	5.19953283879853e-10	3.80902919962269e-07
"Zm00001eb138510"	-3.73057340117578	3.43566190005718	5.49699905718543e-10	3.91508488406207e-07
"Zm00001eb340550"	-4.0664356830213	2.08515557481625	6.62549786355374e-10	4.59129095193291e-07
"Zm00001eb048370"	3.68792885037931	3.67081340822536	7.37260335181322e-10	4.97456710369713e-07
